date;value
27.02.2021;47162.18
26.02.2021;46645.08
25.02.2021;48854.44
24.02.2021;48762.63
23.02.2021;47300.12
22.02.2021;54206.59
21.02.2021;58006.09
20.02.2021;56936.46
19.02.2021;55365.94
18.02.2021;51959.86
17.02.2021;52349.04
16.02.2021;48594.16
15.02.2021;48711.57
14.02.2021;48928.54
13.02.2021;46785.54
12.02.2021;47540.00
11.02.2021;48228.87
10.02.2021;44693.63
09.02.2021;47290.30
08.02.2021;43448.79
07.02.2021;38313.37
06.02.2021;39867.04
05.02.2021;37642.32
04.02.2021;37385.57
03.02.2021;36916.04
02.02.2021;35660.29
01.02.2021;33759.52
31.01.2021;32872.48
30.01.2021;34264.34
29.01.2021;34563.59
28.01.2021;32673.74
27.01.2021;31418.87
26.01.2021;31981.18
25.01.2021;33281.76
24.01.2021;31706.06
23.01.2021;32239.23
22.01.2021;33655.72
21.01.2021;32186.01
20.01.2021;35089.15
19.01.2021;36347.55
18.01.2021;36240.23
17.01.2021;36010.27
16.01.2021;36671.50
15.01.2021;35482.54
14.01.2021;39634.15
13.01.2021;35973.88
12.01.2021;34162.11
11.01.2021;32684.73
10.01.2021;37546.29
09.01.2021;40591.11
08.01.2021;39218.84
07.01.2021;38989.93
06.01.2021;35671.91
05.01.2021;34011.35
04.01.2021;31446.14
03.01.2021;33427.59
02.01.2021;31777.47
01.01.2021;29264.67
31.12.2020;28961.54
30.12.2020;28914.70
29.12.2020;26898.76
28.12.2020;26740.01
27.12.2020;26366.63
26.12.2020;26260.90
25.12.2020;24443.28
24.12.2020;23431.41
23.12.2020;23487.66
22.12.2020;23394.79
21.12.2020;22850.53
20.12.2020;24161.65
19.12.2020;23874.47
18.12.2020;22734.35
17.12.2020;22452.52
16.12.2020;20802.07
15.12.2020;19520.37
14.12.2020;19152.85
13.12.2020;19143.97
12.12.2020;18749.08
11.12.2020;17968.36
10.12.2020;18381.61
09.12.2020;18298.67
08.12.2020;18743.09
07.12.2020;19032.73
06.12.2020;19186.73
05.12.2020;19087.21
04.12.2020;18958.88
03.12.2020;19342.80
02.12.2020;19113.36
01.12.2020;18942.19
30.11.2020;19375.16
29.11.2020;18185.56
28.11.2020;17790.56
